customer_id,country,age,gender,membership_tier,registration_date,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment,churned,data_snapshot_date
C00001,United States,40,Male,Free,2019-01-17,207.0,2.0,511.55,4.0,3.0,4.0,11.0,Loyal Customers,0,2026-03-30
C00002,United States,20,Female,Free,2026-03-04,1.0,4.0,863.6700000000001,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00003,United States,43,Female,Gold,2026-02-08,134.0,3.0,251.44,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00004,United States,41,Male,Free,2025-03-19,,,,,,,,No orders in window,0,2026-03-30
C00005,France,37,Other,Platinum,2024-09-10,137.0,4.0,342.29,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00006,Uae,34,Male,Platinum,2024-04-17,177.0,4.0,297.73,4.0,3.0,3.0,10.0,Loyal Customers,0,2026-03-30
C00007,Canada,25,Male,Silver,2025-09-03,341.0,2.0,671.8599999999999,4.0,3.0,5.0,12.0,Loyal Customers,0,2026-03-30
C00008,Singapore,33,Female,Silver,2025-08-09,621.0,4.0,643.3299999999999,3.0,3.0,5.0,11.0,Loyal Customers,0,2026-03-30
C00009,United States,47,Male,Free,2026-03-18,1314.0,2.0,172.12,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00010,United States,18,Male,Free,2025-09-16,1878.0,1.0,328.65,1.0,3.0,3.0,7.0,At Risk,0,2026-03-30
C00011,United States,64,Female,Silver,2025-10-21,16.0,5.0,671.47,5.0,3.0,5.0,13.0,Loyal Customers,0,2026-03-30
C00012,United Kingdom,40,Other,Free,2022-11-18,1113.0,1.0,128.23,1.0,3.0,1.0,5.0,Regular,0,2026-03-30
C00013,United Kingdom,42,Male,Platinum,2026-01-31,727.0,2.0,380.17,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00014,Netherlands,40,Female,Silver,2025-08-25,,,,,,,,No orders in window,0,2026-03-30
C00015,Brazil,52,Male,Silver,2022-12-01,597.0,1.0,151.61,3.0,3.0,2.0,8.0,Loyal Customers,0,2026-03-30
C00016,United States,33,Male,Free,2024-11-24,417.0,2.0,374.82,3.0,3.0,3.0,9.0,Loyal Customers,0,2026-03-30
C00017,United States,29,Female,Free,2023-05-25,160.0,4.0,280.76,4.0,3.0,3.0,10.0,Loyal Customers,0,2026-03-30
C00018,France,36,Male,Gold,2021-12-01,1250.0,1.0,200.74,1.0,3.0,2.0,6.0,Regular,0,2026-03-30
C00019,United States,34,Male,Gold,2021-04-03,101.0,2.0,254.06,5.0,3.0,2.0,10.0,Loyal Customers,0,2026-03-30
C00020,Singapore,18,Male,Free,2016-05-20,742.0,5.0,435.48,2.0,3.0,4.0,9.0,At Risk,1,2026-03-30
C00021,United Kingdom,29,Male,Free,2025-07-30,362.0,4.0,228.55,3.0,3.0,2.0,8.0,Loyal Customers,0,2026-03-30
C00022,Mexico,22,Female,Free,2024-08-16,1047.0,3.0,278.0,2.0,3.0,3.0,8.0,At Risk,0,2026-03-30
C00023,United Kingdom,47,Female,Platinum,2025-01-21,296.0,5.0,787.6600000000001,4.0,3.0,5.0,12.0,Loyal Customers,0,2026-03-30
C00024,Japan,47,Male,Platinum,2024-11-08,116.0,4.0,340.72,5.0,3.0,3.0,11.0,Loyal Customers,0,2026-03-30
C00025,United States,37,Female,Free,2024-07-04,1432.0,2.0,862.8199999999999,1.0,3.0,5.0,9.0,At Risk,0,2026-03-30
