ym,orders_all,orders_delivered,revenue_all_usd,unique_customers,revenue_delivered_usd,year,month,quarter,aov_delivered_usd
2020-01,323,266,41113.87,315,35415.25,2020,1,1,133.14
2020-02,317,268,39807.11,312,34304.78,2020,2,1,128.0
2020-03,318,258,42025.89,311,32642.23,2020,3,1,126.52
2020-04,335,281,42924.92,328,34865.39,2020,4,2,124.08
2020-05,358,286,47225.52,350,38625.73,2020,5,2,135.06
2020-06,316,258,39982.61,312,31689.22,2020,6,2,122.83
2020-07,345,266,40770.92,340,31542.99,2020,7,3,118.58
2020-08,350,289,42331.6,342,35804.39,2020,8,3,123.89
2020-09,306,241,42013.63,299,34467.9,2020,9,3,143.02
2020-10,337,269,40227.75,328,31217.93,2020,10,4,116.05
2020-11,326,279,43686.56,315,36607.409999999996,2020,11,4,131.21
2020-12,363,303,48349.72,350,39996.64,2020,12,4,132.0
2021-01,354,281,39452.04,346,31245.22,2021,1,1,111.19
2021-02,302,257,37921.91,293,30976.31,2021,2,1,120.53
2021-03,360,292,45374.08,351,36891.43,2021,3,1,126.34
2021-04,290,245,35687.340000000004,285,30250.04,2021,4,2,123.47
2021-05,315,266,39713.22,306,34354.09,2021,5,2,129.15
2021-06,319,266,39340.75,305,32344.03,2021,6,2,121.59
2021-07,332,275,40036.27,325,33495.74,2021,7,3,121.8
2021-08,332,267,40778.74,324,33747.82,2021,8,3,126.4
2021-09,327,263,39507.94,319,30858.17,2021,9,3,117.33
2021-10,350,284,39633.89,343,33889.76,2021,10,4,119.33
2021-11,326,260,40419.72,319,31966.0,2021,11,4,122.95
2021-12,369,304,48365.29,363,39234.46,2021,12,4,129.06
2022-01,354,290,42657.05,348,35008.98,2022,1,1,120.72
2022-02,288,237,32045.92,285,25922.18,2022,2,1,109.38
2022-03,331,260,40154.46,322,31024.2,2022,3,1,119.32
2022-04,326,265,41514.46,317,35381.99,2022,4,2,133.52
2022-05,322,254,39373.98,316,32317.62,2022,5,2,127.23
2022-06,324,270,45382.32,314,39403.82,2022,6,2,145.94
2022-07,326,263,38740.21,323,31442.920000000002,2022,7,3,119.55
2022-08,335,277,42196.21,331,35474.909999999996,2022,8,3,128.07
2022-09,329,273,38471.54,319,33303.4,2022,9,3,121.99
2022-10,377,307,46285.19,368,39203.31,2022,10,4,127.7
2022-11,336,272,45578.7,329,36954.4,2022,11,4,135.86
2022-12,343,281,40883.81,334,34494.54,2022,12,4,122.76
2023-01,341,284,45668.8,334,38618.99,2023,1,1,135.98
2023-02,314,259,38112.99,309,32628.65,2023,2,1,125.98
2023-03,316,264,41276.61,314,34346.46,2023,3,1,130.1
2023-04,331,283,43158.68,324,36986.87,2023,4,2,130.7
2023-05,331,280,46269.88,320,39628.39,2023,5,2,141.53
2023-06,327,275,41804.64,319,34020.34,2023,6,2,123.71
2023-07,328,263,42680.76,320,33716.87,2023,7,3,128.2
2023-08,320,261,40276.36,314,31889.91,2023,8,3,122.18
2023-09,296,257,37926.94,293,33957.89,2023,9,3,132.13
2023-10,346,290,46145.02,340,39317.26,2023,10,4,135.58
2023-11,321,265,40357.51,317,34414.38,2023,11,4,129.87
2023-12,339,272,39574.24,332,32063.21,2023,12,4,117.88
2024-01,341,276,38595.75,331,31774.33,2024,1,1,115.12
2024-02,324,271,38413.02,320,32650.56,2024,2,1,120.48
2024-03,366,301,45938.04,361,38111.12,2024,3,1,126.62
2024-04,348,295,40268.29,343,33388.590000000004,2024,4,2,113.18
2024-05,325,260,37204.21,317,29911.52,2024,5,2,115.04
2024-06,316,264,38158.97,308,31217.29,2024,6,2,118.25
2024-07,344,286,43657.34,337,33667.59,2024,7,3,117.72
2024-08,311,258,38340.73,303,31282.29,2024,8,3,121.25
2024-09,363,293,42393.55,358,36001.08,2024,9,3,122.87
2024-10,340,285,39293.98,331,31867.25,2024,10,4,111.81
2024-11,322,260,42277.68,316,34159.4,2024,11,4,131.38
2024-12,334,263,39393.14,326,31629.3,2024,12,4,120.26
2025-01,312,255,40377.72,303,32012.75,2025,1,1,125.54
2025-02,317,255,36686.17,317,29197.88,2025,2,1,114.5
2025-03,363,302,45179.77,361,38073.94,2025,3,1,126.07
2025-04,329,264,39213.74,322,31374.44,2025,4,2,118.84
2025-05,356,287,45588.82,351,36208.38,2025,5,2,126.16
2025-06,374,306,49853.33,364,40777.79,2025,6,2,133.26
2025-07,321,269,46614.37,318,41236.159999999996,2025,7,3,153.29
2025-08,361,290,44447.98,355,34388.76,2025,8,3,118.58
2025-09,312,264,41149.52,304,34675.45,2025,9,3,131.35
2025-10,357,287,47739.4,350,39940.71,2025,10,4,139.17
2025-11,302,240,36966.74,299,28149.83,2025,11,4,117.29
2025-12,369,304,47489.61,362,39321.84,2025,12,4,129.35
2026-01,378,316,51490.91,369,44793.18,2026,1,1,141.75
2026-02,319,254,46117.73,315,38488.48,2026,2,1,151.53
2026-03,325,266,40326.58,319,32872.17,2026,3,1,123.58
