order_id,customer_id,order_date,year,month,quarter,category,product_name,quantity,unit_price_usd,subtotal_usd,discount_pct,discount_amount_usd,shipping_fee_usd,tax_amount_usd,total_amount_usd,order_status,payment_method,device_used,session_duration_minutes,has_rating,customer_rating,returned,order_year_month,is_delivered
O000001,C07108,2020-08-27,2020,8,Q3,Automotive,Tire Inflator,1,62.91,62.91,0,0.0,0.0,11.32,74.23,Delivered,Credit Card,Desktop,14.4,0,,0,2020-08,1
O000002,C03487,2024-04-11,2024,4,Q2,Jewelry & Accessories,Stud Earrings Gold,1,18.44,18.44,0,0.0,3.99,1.84,24.27,Delivered,Credit Card,Mobile,9.0,0,,0,2024-04,1
O000003,C03062,2023-06-25,2023,6,Q2,Office Supplies,Pen Set Premium,1,109.79,109.79,20,21.96,0.0,7.03,94.86,Delivered,Paypal,Desktop,3.2,1,4.0,0,2023-06,1
O000004,C00888,2020-08-16,2020,8,Q3,Electronics,Smart Watch Series 5,1,87.21,87.21,50,43.6,0.0,3.49,47.1,Returned,Credit Card,Tablet,32.2,0,,1,2020-08,0
O000005,C01674,2020-04-24,2020,4,Q2,Jewelry & Accessories,Stud Earrings Gold,2,94.3,188.6,0,0.0,9.99,9.43,208.02,Delivered,Debit Card,Mobile,54.7,1,2.8,0,2020-04,1
O000006,C07761,2022-04-27,2022,4,Q2,Electronics,Gaming Mouse RGB,1,62.73,62.73,0,0.0,3.99,5.02,71.74,Returned,Credit Card,Desktop,15.7,0,,1,2022-04,0
O000007,C02205,2023-12-14,2023,12,Q4,Sports & Outdoors,Pull-up Bar,2,62.33,124.66,0,0.0,0.0,14.96,139.62,Delivered,Credit Card,Desktop,10.9,0,,0,2023-12,1
O000008,C01219,2024-04-25,2024,4,Q2,Jewelry & Accessories,Tote Bag Canvas,1,89.8,89.8,0,0.0,4.99,0.0,94.79,Delivered,Debit Card,Mobile,5.5,1,4.8,0,2024-04,1
O000009,C03734,2025-06-05,2025,6,Q2,Home & Kitchen,Shower Curtain,2,65.09,130.18,0,0.0,6.99,13.02,150.19,Delivered,Debit Card,Desktop,10.9,0,,0,2025-06,1
O000010,C02055,2021-08-19,2021,8,Q3,Clothing & Apparel,Winter Jacket,3,52.41,157.23,0,0.0,3.99,31.45,192.67,Delivered,Paypal,Desktop,8.9,1,2.7,0,2021-08,1
O000011,C05153,2022-03-28,2022,3,Q1,Automotive,Dashcam 4K,1,115.86,115.86,15,17.38,0.0,11.82,110.3,Delivered,Debit Card,Mobile,10.4,1,4.2,0,2022-03,1
O000012,C06548,2024-05-01,2024,5,Q2,Clothing & Apparel,Running Shoes,1,37.98,37.98,0,0.0,0.0,3.8,41.78,Delivered,Cryptocurrency,Desktop,24.0,1,2.4,0,2024-05,1
O000013,C00717,2026-02-18,2026,2,Q1,Sports & Outdoors,Pull-up Bar,1,31.49,31.49,0,0.0,4.99,3.15,39.63,Delivered,Debit Card,Desktop,12.3,1,4.2,0,2026-02,1
O000014,C03489,2020-12-13,2020,12,Q4,Food & Grocery,Protein Powder Vanilla,1,24.05,24.05,15,3.61,0.0,4.09,24.53,Processing,Cryptocurrency,Tablet,8.5,0,,0,2020-12,0
O000015,C05450,2020-05-31,2020,5,Q2,Books,The Lean Startup,1,18.47,18.47,25,4.62,3.99,1.11,18.95,Delivered,Credit Card,Mobile,22.1,1,4.8,0,2020-05,1
