product_name,total_amount_usd,ABC_Group,XYZ_Group
Portable Charger 20000mAh,131146.55,A,Z
Webcam 4K,117418.25,A,Z
Smart Watch Series 5,116859.12,A,Z
USB-C Hub,115986.18,A,Z
Wireless Earbuds Pro,115198.45,A,Z
Bluetooth Speaker,113106.13,A,Z
Mechanical Keyboard,112155.24,A,Z
Smart Plug 4-Pack,111166.89,A,Z
Gaming Mouse RGB,111063.39,A,Z
LED Desk Lamp,104836.8,A,Z
Wall Clock Modern,48618.69,A,Z
Classic White Tee,48307.38,A,Z
Sports Socks 6-Pack,48141.91,A,Z
Formal Dress Shirt,47359.72,A,Z
Coffee Maker Drip,47259.26,A,Z
Winter Jacket,46525.81,A,Z
Slim Fit Jeans,45800.41,A,Z
Mattress Topper,44659.9,A,Z
Leather Belt,44484.42,A,Z
Yoga Pants,44059.65,A,Z
Shower Curtain,43896.69,A,Z
Storage Containers,43828.18,A,Z
Blender Pro,42834.86,A,Z
Non-stick Pan,42463.01,A,Z
Running Shoes,42277.53,A,Z
Hoodie Pullover,41958.64,A,Z
Air Fryer 5L,41429.62,A,Z
Electric Kettle,40388.97,A,Z
Casual Sneakers,40373.21,A,Z
Knife Set 8pc,38833.17,A,Z
Yoga Mat Non-slip,18842.53,A,Z
Tote Bag Canvas,18683.64,A,Z
Dumbbell Set 20kg,17831.31,A,Z
Ring Set 5pc,17722.4,A,Z
Jump Rope Speed,17091.66,A,Z
Water Bottle 1L,16462.49,A,Z
Stud Earrings Gold,16303.93,A,Z
Tennis Racket,16282.64,A,Z
Hiking Backpack,16108.56,A,Z
Resistance Bands Set,15713.3,A,Z
Foam Roller,15502.34,A,Z
Stapler Heavy Duty,14713.53,A,Z
Silk Scarf,14657.06,A,Z
Standing Desk Converter,14597.02,A,Z
Notebook A5,14213.08,A,Z
Charm Bracelet,14034.3,A,Z
Sticky Notes Bulk,14029.27,A,Z
Wireless Mouse,13709.08,A,Z
Sterling Silver Necklace,13699.47,A,Z
Sunglasses UV400,13471.15,A,Z
Ergonomic Chair,13362.44,A,Z
Card Game Party,13327.64,A,Z
Outdoor Frisbee,13290.03,A,Z
Phone Case Designer,13263.09,A,Z
Cycling Gloves,13213.55,A,Z
Minimalist Watch,12930.23,A,Z
Pull-up Bar,12571.73,A,Z
Passport Holder RFID,12531.84,A,Z
Desk Organizer,12510.57,A,Z
Puzzle 1000pc,12478.42,A,Z
Remote Control Car,12429.18,A,Z
Pen Set Premium,12414.26,A,Z
Whiteboard Markers,12353.32,B,Z
Educational Tablet,11907.95,B,Z
Face Wash Gel,11779.84,B,Z
Action Figure Set,11727.98,B,Z
File Folders 50pk,11569.58,B,Z
Air Freshener,11277.46,B,Z
Hair Dryer Pro,11071.4,B,Z
Car Phone Mount,11023.130000000001,B,Z
Board Game Strategy,10993.12,B,Z
Hyaluronic Acid Moisturizer,10877.96,B,Z
Leather Wallet,10861.93,B,Z
Shampoo Argan Oil,10833.96,B,Z
Thinking Fast and Slow,10800.63,B,Z
Vitamin C Serum,10647.02,B,Z
Zero to One,10583.85,B,Z
Art Supply Kit,10479.51,B,Z
Electric Toothbrush,10435.61,B,Z
Perfume Floral,10386.85,B,Z
"Hardshell Luggage 24""",10359.52,B,Z
System Design Interview,10249.17,B,Z
Toiletry Bag,10224.76,B,Z
Lip Balm Set,10167.64,B,Z
Dashcam 4K,9849.37,B,Z
Sunscreen SPF50,9835.53,B,Z
The Alchemist,9689.15,B,Z
Python Crash Course,9578.07,B,Z
Compression Socks,9431.27,B,Z
Deep Work,9417.76,B,Z
Car Vacuum Cleaner,9332.86,B,Z
The Pragmatic Programmer,9320.38,B,Z
USB Car Charger,9147.75,B,Z
Money Belt,9098.12,B,Z
The Lean Startup,9066.8,B,Z
Tire Inflator,9046.19,B,Z
Stuffed Animal Bear,8937.16,B,Z
Jump Starter Pack,8882.81,B,Z
Seat Covers Universal,8781.91,B,Z
Atomic Habits,8675.289999999999,B,Z
Travel Pillow Memory Foam,8657.07,B,Z
Clean Code,8632.48,B,Z
Steering Wheel Cover,8592.57,B,Z
Nail Kit,8551.72,B,Z
Windshield Cleaner,8511.95,B,Z
LEGO City Set,8491.98,B,Z
Eye Mask Sleep,7926.29,B,Z
Portable Scale,7879.35,B,Z
Packing Cubes 6-Set,7855.68,B,Z
Travel Adapter Universal,7748.889999999999,B,Z
Collagen Peptides,7339.51,B,Z
Probiotics 50B,6906.87,C,Z
Matcha Powder,6895.02,C,Z
Ashwagandha Extract,6858.34,C,Z
Protein Powder Vanilla,6535.57,C,Z
Organic Green Tea,6394.0199999999995,C,Z
Vitamin D3 5000IU,6356.28,C,Z
Coffee Beans 1kg,6299.17,C,Z
Flea Collar,5993.26,C,Z
Omega-3 Fish Oil,5976.25,C,Z
CBD Gummies,5975.05,C,Z
Olive Oil Extra Virgin,5946.3,C,Z
Dark Chocolate 85%,5867.71,C,Z
Multivitamin Daily,5849.24,C,Z
Quinoa 2kg,5570.76,C,Z
Honey Raw Organic,5510.31,C,Z
Zinc Lozenges,5491.3,C,Z
Bird Cage Deluxe,5464.04,C,Z
Chew Toy Set,5190.5199999999995,C,Z
Mixed Nuts 500g,5135.78,C,Z
Energy Bars 12-Pack,4964.49,C,Z
Dog Food Premium 5kg,4851.06,C,Z
Fish Tank 10L,4836.77,C,Z
Melatonin 5mg,4768.08,C,Z
Magnesium Glycinate,4709.95,C,Z
Dog Leash Retractable,4269.6,C,Z
Pet Shampoo Natural,3884.9,C,Z
Interactive Cat Toy,3734.59,C,Z
Pet Carrier Soft,3477.2599999999998,C,Z
Cat Litter Clumping,3372.3,C,Z
